Fecha,Productos,Ingreso,Tienda,año,dia,mes
2019-04-25,15,9741,1,2019,Thursday,April
2019-04-26,25,8552,1,2019,Friday,April
2019-04-27,25,7373,1,2019,Saturday,April
2019-04-28,16,6278,1,2019,Sunday,April
2019-04-29,24,5926,1,2019,Monday,April
2019-04-30,27,6622,1,2019,Tuesday,April
2019-05-01,39,8336,1,2019,Wednesday,May
2019-05-02,37,8065,1,2019,Thursday,May
2019-05-03,29,9128,1,2019,Friday,May
2019-05-04,23,9127,1,2019,Saturday,May
2019-05-05,26,7023,1,2019,Sunday,May
2019-05-06,44,7665,1,2019,Monday,May
2019-05-07,47,7426,1,2019,Tuesday,May
2019-05-08,22,6043,1,2019,Wednesday,May
2019-05-09,48,5348,1,2019,Thursday,May
2019-05-10,25,8246,1,2019,Friday,May
2019-05-11,28,7054,1,2019,Saturday,May
2019-05-12,43,6026,1,2019,Sunday,May
2019-05-13,44,9487,1,2019,Monday,May
2019-05-14,23,5880,1,2019,Tuesday,May
2019-05-15,36,6425,1,2019,Wednesday,May
2019-05-16,15,6275,1,2019,Thursday,May
2019-05-17,21,5536,1,2019,Friday,May
2019-05-18,29,7203,1,2019,Saturday,May
2019-05-19,19,8496,1,2019,Sunday,May
2019-05-20,31,6465,1,2019,Monday,May
2019-05-21,32,6297,1,2019,Tuesday,May
2019-05-22,49,6443,1,2019,Wednesday,May
2019-05-23,48,8648,1,2019,Thursday,May
2019-05-24,38,6583,1,2019,Friday,May
2019-05-25,41,6875,1,2019,Saturday,May
2019-05-26,41,7919,1,2019,Sunday,May
2019-05-27,35,5070,1,2019,Monday,May
2019-05-28,42,7772,1,2019,Tuesday,May
2019-05-29,29,9779,1,2019,Wednesday,May
2019-05-30,46,8380,1,2019,Thursday,May
2019-05-31,27,5985,1,2019,Friday,May
2019-06-01,49,8940,1,2019,Saturday,June
2019-06-02,37,7825,1,2019,Sunday,June
2019-06-03,29,6839,1,2019,Monday,June
2019-06-04,48,8511,1,2019,Tuesday,June
2019-06-05,34,9796,1,2019,Wednesday,June
2019-06-06,33,7976,1,2019,Thursday,June
2019-06-07,28,9587,1,2019,Friday,June
2019-06-08,17,6707,1,2019,Saturday,June
2019-06-09,42,5470,1,2019,Sunday,June
2019-06-10,33,9057,1,2019,Monday,June
2019-06-11,41,8826,1,2019,Tuesday,June
2019-06-12,37,5039,1,2019,Wednesday,June
2019-06-13,34,6295,1,2019,Thursday,June
2019-06-14,31,6092,1,2019,Friday,June
2019-06-15,29,5286,1,2019,Saturday,June
2019-06-16,32,5020,1,2019,Sunday,June
2019-06-17,44,5361,1,2019,Monday,June
2019-06-18,35,7652,1,2019,Tuesday,June
2019-06-19,26,6940,1,2019,Wednesday,June
2019-06-20,27,9943,1,2019,Thursday,June
2019-06-21,32,6871,1,2019,Friday,June
2019-06-22,45,8292,1,2019,Saturday,June
2019-06-23,32,6812,1,2019,Sunday,June
2019-06-24,39,7811,1,2019,Monday,June
2019-06-25,25,7210,1,2019,Tuesday,June
2019-06-26,36,9461,1,2019,Wednesday,June
2019-06-27,46,5519,1,2019,Thursday,June
2019-06-28,25,5827,1,2019,Friday,June
2019-06-29,17,8920,1,2019,Saturday,June
2019-06-30,19,8973,1,2019,Sunday,June
2019-07-01,49,9245,1,2019,Monday,July
2019-07-02,35,8227,1,2019,Tuesday,July
2019-07-03,44,8262,1,2019,Wednesday,July
2019-07-04,20,8242,1,2019,Thursday,July
2019-07-05,44,8727,1,2019,Friday,July
2019-07-06,43,6679,1,2019,Saturday,July
2019-07-07,49,8799,1,2019,Sunday,July
2019-07-08,45,6077,1,2019,Monday,July
2019-07-09,45,9802,1,2019,Tuesday,July
2019-07-10,24,7460,1,2019,Wednesday,July
2019-07-11,40,6190,1,2019,Thursday,July
2019-07-12,42,5405,1,2019,Friday,July
2019-07-13,26,5087,1,2019,Saturday,July
2019-07-14,42,9851,1,2019,Sunday,July
2019-07-15,47,8283,1,2019,Monday,July
2019-07-16,30,5927,1,2019,Tuesday,July
2019-07-17,24,5956,1,2019,Wednesday,July
2019-07-18,37,9733,1,2019,Thursday,July
2019-07-19,24,5395,1,2019,Friday,July
2019-07-20,21,8208,1,2019,Saturday,July
2019-07-21,21,5205,1,2019,Sunday,July
2019-07-22,24,6449,1,2019,Monday,July
2019-07-23,33,7541,1,2019,Tuesday,July
2019-07-24,20,5477,1,2019,Wednesday,July
2019-07-25,29,6871,1,2019,Thursday,July
2019-07-26,18,9744,1,2019,Friday,July
2019-07-27,40,6843,1,2019,Saturday,July
2019-07-28,33,6656,1,2019,Sunday,July
2019-07-29,45,5656,1,2019,Monday,July
2019-07-30,36,6446,1,2019,Tuesday,July
2019-07-31,28,9438,1,2019,Wednesday,July
2019-08-01,25,6578,1,2019,Thursday,August
2019-08-02,50,6086,1,2019,Friday,August
2019-08-03,28,8164,1,2019,Saturday,August
2019-08-04,27,5769,1,2019,Sunday,August
2019-08-05,33,9495,1,2019,Monday,August
2019-08-06,45,9716,1,2019,Tuesday,August
2019-08-07,32,7600,1,2019,Wednesday,August
2019-08-08,27,7914,1,2019,Thursday,August
2019-08-09,33,6712,1,2019,Friday,August
2019-08-10,21,7951,1,2019,Saturday,August
2019-08-11,17,7166,1,2019,Sunday,August
2019-08-12,31,9928,1,2019,Monday,August
2019-08-13,44,9265,1,2019,Tuesday,August
2019-08-14,42,5190,1,2019,Wednesday,August
2019-08-15,48,7020,1,2019,Thursday,August
2019-08-16,46,5056,1,2019,Friday,August
2019-08-17,17,5674,1,2019,Saturday,August
2019-08-18,33,6463,1,2019,Sunday,August
2019-08-19,42,5838,1,2019,Monday,August
2019-08-20,43,5143,1,2019,Tuesday,August
2019-08-21,28,5030,1,2019,Wednesday,August
2019-08-22,20,6411,1,2019,Thursday,August
2019-08-23,32,7712,1,2019,Friday,August
2019-08-24,26,7534,1,2019,Saturday,August
2019-08-25,39,7414,1,2019,Sunday,August
2019-08-26,46,6742,1,2019,Monday,August
2019-08-27,40,7941,1,2019,Tuesday,August
2019-08-28,33,8089,1,2019,Wednesday,August
2019-08-29,33,5346,1,2019,Thursday,August
2019-08-30,17,7769,1,2019,Friday,August
2019-08-31,30,5727,1,2019,Saturday,August
2019-09-01,23,6012,1,2019,Sunday,September
2019-09-02,46,9107,1,2019,Monday,September
2019-09-03,39,5164,1,2019,Tuesday,September
2019-09-04,26,7899,1,2019,Wednesday,September
2019-09-05,25,9252,1,2019,Thursday,September
2019-09-06,30,6907,1,2019,Friday,September
2019-09-07,42,7635,1,2019,Saturday,September
2019-09-08,46,8904,1,2019,Sunday,September
2019-09-09,26,7968,1,2019,Monday,September
2019-09-10,16,7733,1,2019,Tuesday,September
2019-09-11,44,9261,1,2019,Wednesday,September
2019-09-12,42,9428,1,2019,Thursday,September
2019-09-13,40,9888,1,2019,Friday,September
2019-09-14,20,9726,1,2019,Saturday,September
2019-09-15,33,7805,1,2019,Sunday,September
2019-09-16,35,6149,1,2019,Monday,September
2019-09-17,20,5839,1,2019,Tuesday,September
2019-09-18,42,6345,1,2019,Wednesday,September
2019-09-19,32,6010,1,2019,Thursday,September
2019-09-20,49,7641,1,2019,Friday,September
2019-09-21,17,7051,1,2019,Saturday,September
2019-09-22,47,5421,1,2019,Sunday,September
2019-09-23,23,9683,1,2019,Monday,September
2019-09-24,34,5138,1,2019,Tuesday,September
2019-09-25,36,7609,1,2019,Wednesday,September
2019-09-26,30,6164,1,2019,Thursday,September
2019-09-27,40,5196,1,2019,Friday,September
2019-09-28,37,7983,1,2019,Saturday,September
2019-09-29,32,9458,1,2019,Sunday,September
2019-09-30,23,5720,1,2019,Monday,September
2019-10-01,48,9818,1,2019,Tuesday,October
2019-10-02,36,8458,1,2019,Wednesday,October
2019-10-03,46,7223,1,2019,Thursday,October
2019-10-04,23,7199,1,2019,Friday,October
2019-10-05,17,7772,1,2019,Saturday,October
2019-10-06,33,8651,1,2019,Sunday,October
2019-10-07,46,5255,1,2019,Monday,October
2019-10-08,46,7357,1,2019,Tuesday,October
2019-10-09,15,9299,1,2019,Wednesday,October
2019-10-10,20,9084,1,2019,Thursday,October
2019-10-11,30,5524,1,2019,Friday,October
2019-10-12,38,8602,1,2019,Saturday,October
2019-10-13,33,8610,1,2019,Sunday,October
2019-10-14,36,8287,1,2019,Monday,October
2019-10-15,24,5350,1,2019,Tuesday,October
2019-10-16,20,9436,1,2019,Wednesday,October
2019-10-17,37,5000,1,2019,Thursday,October
2019-10-18,29,9707,1,2019,Friday,October
2019-10-19,30,7400,1,2019,Saturday,October
2019-10-20,32,9148,1,2019,Sunday,October
2019-10-21,33,5277,1,2019,Monday,October
2019-10-22,43,6010,1,2019,Tuesday,October
2019-10-23,34,6302,1,2019,Wednesday,October
2019-10-24,36,9856,1,2019,Thursday,October
2019-10-25,49,7209,1,2019,Friday,October
2019-10-26,22,5916,1,2019,Saturday,October
2019-10-27,36,8673,1,2019,Sunday,October
2019-10-28,39,7342,1,2019,Monday,October
2019-10-29,42,6002,1,2019,Tuesday,October
2019-10-30,40,8324,1,2019,Wednesday,October
2019-10-31,32,5964,1,2019,Thursday,October
2019-11-01,25,8555,1,2019,Friday,November
2019-11-02,46,7223,1,2019,Saturday,November
2019-11-03,49,9232,1,2019,Sunday,November
2019-11-04,41,6524,1,2019,Monday,November
2019-11-05,32,6678,1,2019,Tuesday,November
2019-11-06,33,9460,1,2019,Wednesday,November
2019-11-07,40,9902,1,2019,Thursday,November
2019-11-08,50,8779,1,2019,Friday,November
2019-11-09,27,6894,1,2019,Saturday,November
2019-11-10,19,7491,1,2019,Sunday,November
2019-11-11,47,9479,1,2019,Monday,November
2019-11-12,27,7208,1,2019,Tuesday,November
2019-11-13,46,6722,1,2019,Wednesday,November
2019-11-14,31,7477,1,2019,Thursday,November
2019-11-15,43,6624,1,2019,Friday,November
2019-11-16,25,8630,1,2019,Saturday,November
2019-11-17,25,9871,1,2019,Sunday,November
2019-11-18,46,6707,1,2019,Monday,November
2019-11-19,45,7518,1,2019,Tuesday,November
2019-11-20,35,9214,1,2019,Wednesday,November
2019-11-21,31,8275,1,2019,Thursday,November
2019-11-22,20,8078,1,2019,Friday,November
2019-11-23,16,6469,1,2019,Saturday,November
2019-11-24,32,5657,1,2019,Sunday,November
2019-11-25,18,7344,1,2019,Monday,November
2019-11-26,19,6074,1,2019,Tuesday,November
2019-11-27,35,8313,1,2019,Wednesday,November
2019-11-28,26,7460,1,2019,Thursday,November
2019-11-29,37,6731,1,2019,Friday,November
2019-11-30,28,6637,1,2019,Saturday,November
2019-12-01,22,7705,1,2019,Sunday,December
2019-12-02,34,8210,1,2019,Monday,December
2019-12-03,42,8593,1,2019,Tuesday,December
2019-12-04,50,9575,1,2019,Wednesday,December
2019-12-05,34,7570,1,2019,Thursday,December
2019-12-06,28,7213,1,2019,Friday,December
2019-12-07,50,7923,1,2019,Saturday,December
2019-12-08,44,8814,1,2019,Sunday,December
2019-12-09,42,5380,1,2019,Monday,December
2019-12-10,45,8719,1,2019,Tuesday,December
2019-12-11,24,5366,1,2019,Wednesday,December
2019-12-12,27,7108,1,2019,Thursday,December
2019-12-13,43,9257,1,2019,Friday,December
2019-12-14,17,7448,1,2019,Saturday,December
2019-12-15,42,9466,1,2019,Sunday,December
2019-12-16,36,8264,1,2019,Monday,December
2019-12-17,42,6425,1,2019,Tuesday,December
2019-12-18,27,7986,1,2019,Wednesday,December
2019-12-19,33,5823,1,2019,Thursday,December
2019-12-20,48,8081,1,2019,Friday,December
2019-12-21,42,6286,1,2019,Saturday,December
2019-12-22,24,8148,1,2019,Sunday,December
2019-12-23,44,7644,1,2019,Monday,December
2019-12-24,47,6074,1,2019,Tuesday,December
2019-12-25,45,9646,1,2019,Wednesday,December
2019-12-26,24,6001,1,2019,Thursday,December
2019-12-27,21,6507,1,2019,Friday,December
2019-12-28,16,7959,1,2019,Saturday,December
2019-12-29,46,9222,1,2019,Sunday,December
2019-12-30,48,7365,1,2019,Monday,December
2019-12-31,44,5601,1,2019,Tuesday,December
2020-01-01,27,6889,1,2020,Wednesday,January
2020-01-02,47,7337,1,2020,Thursday,January
2020-01-03,49,7976,1,2020,Friday,January
2020-01-04,27,6835,1,2020,Saturday,January
2020-01-05,24,7101,1,2020,Sunday,January
2020-01-06,50,9431,1,2020,Monday,January
2020-01-07,49,5355,1,2020,Tuesday,January
2020-01-08,37,6723,1,2020,Wednesday,January
2020-01-09,17,9543,1,2020,Thursday,January
2020-01-10,34,8529,1,2020,Friday,January
2020-01-11,23,5885,1,2020,Saturday,January
2020-01-12,45,5016,1,2020,Sunday,January
2020-01-13,48,6189,1,2020,Monday,January
2020-01-14,48,5459,1,2020,Tuesday,January
2020-01-15,25,5152,1,2020,Wednesday,January
2020-01-16,31,6399,1,2020,Thursday,January
2020-01-17,21,6994,1,2020,Friday,January
2020-01-18,17,6703,1,2020,Saturday,January
2020-01-19,30,5329,1,2020,Sunday,January
2020-01-20,45,9664,1,2020,Monday,January
2020-01-21,27,6408,1,2020,Tuesday,January
2020-01-22,38,6354,1,2020,Wednesday,January
2020-01-23,16,6913,1,2020,Thursday,January
2020-01-24,40,9759,1,2020,Friday,January
2020-01-25,39,8715,1,2020,Saturday,January
2020-01-26,32,9376,1,2020,Sunday,January
2020-01-27,36,5393,1,2020,Monday,January
2020-01-28,25,7166,1,2020,Tuesday,January
2020-01-29,50,9175,1,2020,Wednesday,January
2020-01-30,26,6337,1,2020,Thursday,January
2020-01-31,21,8782,1,2020,Friday,January
2020-02-01,17,7876,1,2020,Saturday,February
2020-02-02,15,9292,1,2020,Sunday,February
2020-02-03,38,5664,1,2020,Monday,February
2020-02-04,49,5923,1,2020,Tuesday,February
2020-02-05,32,7037,1,2020,Wednesday,February
2020-02-06,24,6023,1,2020,Thursday,February
2020-02-07,47,9209,1,2020,Friday,February
2020-02-08,39,5652,1,2020,Saturday,February
2020-02-09,29,6782,1,2020,Sunday,February
2020-02-10,37,7738,1,2020,Monday,February
2020-02-11,34,8817,1,2020,Tuesday,February
2020-02-12,45,8401,1,2020,Wednesday,February
2020-02-13,41,6960,1,2020,Thursday,February
2020-02-14,46,6298,1,2020,Friday,February
2020-02-15,48,7921,1,2020,Saturday,February
2020-02-16,45,7774,1,2020,Sunday,February
2020-02-17,45,7077,1,2020,Monday,February
2020-02-18,40,6730,1,2020,Tuesday,February
2020-02-19,40,5614,1,2020,Wednesday,February
2020-02-20,27,5621,1,2020,Thursday,February
2020-02-21,30,8630,1,2020,Friday,February
2020-02-22,36,7446,1,2020,Saturday,February
2020-02-23,40,8030,1,2020,Sunday,February
2020-02-24,36,9482,1,2020,Monday,February
2020-02-25,19,5901,1,2020,Tuesday,February
2020-02-26,36,7232,1,2020,Wednesday,February
2020-02-27,28,6725,1,2020,Thursday,February
2020-02-28,46,8463,1,2020,Friday,February
2020-02-29,32,8259,1,2020,Saturday,February
2020-03-01,16,9514,1,2020,Sunday,March
2020-03-02,25,8957,1,2020,Monday,March
2020-03-03,44,6742,1,2020,Tuesday,March
2020-03-04,34,7928,1,2020,Wednesday,March
2020-03-05,18,8926,1,2020,Thursday,March
2020-03-06,37,9953,1,2020,Friday,March
2020-03-07,26,5370,1,2020,Saturday,March
2020-03-08,27,9232,1,2020,Sunday,March
2020-03-09,49,8381,1,2020,Monday,March
2020-03-10,37,7962,1,2020,Tuesday,March
2020-03-11,37,6112,1,2020,Wednesday,March
2020-03-12,37,6493,1,2020,Thursday,March
2020-03-13,26,7723,1,2020,Friday,March
2020-03-14,39,6001,1,2020,Saturday,March
2020-03-15,22,9245,1,2020,Sunday,March
2020-03-16,49,6118,1,2020,Monday,March
2020-03-17,48,9779,1,2020,Tuesday,March
2020-03-18,39,9363,1,2020,Wednesday,March
2020-03-19,27,9872,1,2020,Thursday,March
2020-03-20,15,6591,1,2020,Friday,March
2020-03-21,29,8914,1,2020,Saturday,March
2020-03-22,23,5461,1,2020,Sunday,March
2020-03-23,31,8064,1,2020,Monday,March
2020-03-24,40,7754,1,2020,Tuesday,March
2020-03-25,20,6383,1,2020,Wednesday,March
2020-03-26,45,6075,1,2020,Thursday,March
2020-03-27,20,9703,1,2020,Friday,March
2020-03-28,27,7147,1,2020,Saturday,March
2020-03-29,29,9659,1,2020,Sunday,March
2020-03-30,50,5859,1,2020,Monday,March
2020-03-31,32,6705,1,2020,Tuesday,March
2020-04-01,34,9851,1,2020,Wednesday,April
2020-04-02,18,7929,1,2020,Thursday,April
2020-04-03,41,6737,1,2020,Friday,April
2020-04-04,16,9265,1,2020,Saturday,April
2020-04-05,41,6911,1,2020,Sunday,April
2020-04-06,24,7415,1,2020,Monday,April
2020-04-07,23,5904,1,2020,Tuesday,April
2020-04-08,20,9254,1,2020,Wednesday,April
2020-04-09,16,7205,1,2020,Thursday,April
2020-04-10,19,5963,1,2020,Friday,April
2020-04-11,20,7528,1,2020,Saturday,April
2020-04-12,18,6808,1,2020,Sunday,April
2020-04-13,39,7545,1,2020,Monday,April
2020-04-14,20,6647,1,2020,Tuesday,April
2020-04-15,45,9132,1,2020,Wednesday,April
2020-04-16,42,6681,1,2020,Thursday,April
2020-04-17,33,7083,1,2020,Friday,April
2020-04-18,25,5558,1,2020,Saturday,April
2020-04-19,29,6155,1,2020,Sunday,April
2020-04-20,25,5707,1,2020,Monday,April
2020-04-21,17,8633,1,2020,Tuesday,April
2020-04-22,22,9737,1,2020,Wednesday,April
2020-04-23,41,5150,1,2020,Thursday,April
2020-04-24,20,7593,1,2020,Friday,April
2020-04-25,38,7112,1,2020,Saturday,April
2020-04-26,30,6885,1,2020,Sunday,April
2020-04-27,41,7704,1,2020,Monday,April
2020-04-28,17,8120,1,2020,Tuesday,April
2020-04-29,20,7751,1,2020,Wednesday,April
2020-04-30,26,6351,1,2020,Thursday,April
2020-05-01,24,6664,1,2020,Friday,May
2020-05-02,35,7199,1,2020,Saturday,May
2020-05-03,50,5691,1,2020,Sunday,May
2020-05-04,43,9978,1,2020,Monday,May
2020-05-05,50,8103,1,2020,Tuesday,May
2020-05-06,27,8257,1,2020,Wednesday,May
2020-05-07,23,9970,1,2020,Thursday,May
2020-05-08,22,7726,1,2020,Friday,May
2020-05-09,41,6354,1,2020,Saturday,May
2020-05-10,45,7802,1,2020,Sunday,May
2020-05-11,22,8317,1,2020,Monday,May
2020-05-12,44,5053,1,2020,Tuesday,May
2020-05-13,34,9880,1,2020,Wednesday,May
2020-05-14,18,6249,1,2020,Thursday,May
2020-05-15,41,9753,1,2020,Friday,May
2020-05-16,32,5758,1,2020,Saturday,May
2020-05-17,27,5322,1,2020,Sunday,May
2020-05-18,36,8393,1,2020,Monday,May
2020-05-19,28,5865,1,2020,Tuesday,May
2020-05-20,33,7418,1,2020,Wednesday,May
2020-05-21,44,6387,1,2020,Thursday,May
2020-05-22,30,9345,1,2020,Friday,May
2020-05-23,28,9213,1,2020,Saturday,May
2020-05-24,29,8216,1,2020,Sunday,May
2020-05-25,41,6236,1,2020,Monday,May
2020-05-26,32,6676,1,2020,Tuesday,May
2020-05-27,24,7071,1,2020,Wednesday,May
2020-05-28,41,7607,1,2020,Thursday,May
2020-05-29,45,8027,1,2020,Friday,May
2020-05-30,23,7276,1,2020,Saturday,May
2020-05-31,47,7652,1,2020,Sunday,May
2020-06-01,23,6513,1,2020,Monday,June
2020-06-02,42,9944,1,2020,Tuesday,June
2020-06-03,42,6873,1,2020,Wednesday,June
2020-06-04,32,9553,1,2020,Thursday,June
2020-06-05,25,8538,1,2020,Friday,June
2020-06-06,47,9037,1,2020,Saturday,June
2020-06-07,25,7730,1,2020,Sunday,June
2020-06-08,30,9100,1,2020,Monday,June
2020-06-09,46,6626,1,2020,Tuesday,June
2020-06-10,19,8460,1,2020,Wednesday,June
2020-06-11,16,9377,1,2020,Thursday,June
2020-06-12,20,6303,1,2020,Friday,June
2020-06-13,22,5159,1,2020,Saturday,June
2020-06-14,24,8323,1,2020,Sunday,June
2020-06-15,40,8278,1,2020,Monday,June
2020-06-16,37,6058,1,2020,Tuesday,June
2020-06-17,47,9163,1,2020,Wednesday,June
2020-06-18,48,8011,1,2020,Thursday,June
2020-06-19,45,9295,1,2020,Friday,June
2020-06-20,16,5473,1,2020,Saturday,June
2020-06-21,22,7106,1,2020,Sunday,June
2020-06-22,23,8468,1,2020,Monday,June
2020-06-23,42,5816,1,2020,Tuesday,June
2020-06-24,21,5665,1,2020,Wednesday,June
2020-06-25,37,7521,1,2020,Thursday,June
2020-06-26,40,8403,1,2020,Friday,June
2020-06-27,47,9259,1,2020,Saturday,June
2020-06-28,32,8261,1,2020,Sunday,June
2020-06-29,21,8280,1,2020,Monday,June
2020-06-30,45,6498,1,2020,Tuesday,June
2020-07-01,48,6078,1,2020,Wednesday,July
2020-07-02,33,5217,1,2020,Thursday,July
2020-07-03,29,9628,1,2020,Friday,July
2020-07-04,19,6515,1,2020,Saturday,July
2020-07-05,31,5943,1,2020,Sunday,July
2020-07-06,16,6665,1,2020,Monday,July
2020-07-07,25,8312,1,2020,Tuesday,July
2020-07-08,19,7305,1,2020,Wednesday,July
2020-07-09,48,8103,1,2020,Thursday,July
2020-07-10,29,5443,1,2020,Friday,July
2020-07-11,41,7325,1,2020,Saturday,July
2020-07-12,50,7765,1,2020,Sunday,July
2020-07-13,20,7207,1,2020,Monday,July
2020-07-14,41,7482,1,2020,Tuesday,July
2020-07-15,31,5087,1,2020,Wednesday,July
2020-07-16,30,8438,1,2020,Thursday,July
2020-07-17,24,6353,1,2020,Friday,July
2020-07-18,48,9067,1,2020,Saturday,July
2020-07-19,43,5056,1,2020,Sunday,July
2020-07-20,29,8276,1,2020,Monday,July
2020-07-21,25,5893,1,2020,Tuesday,July
2020-07-22,40,5945,1,2020,Wednesday,July
2020-07-23,46,9863,1,2020,Thursday,July
2020-07-24,44,5728,1,2020,Friday,July
2020-07-25,17,5195,1,2020,Saturday,July
2020-07-26,15,7804,1,2020,Sunday,July
2020-07-27,47,7838,1,2020,Monday,July
2020-07-28,33,5995,1,2020,Tuesday,July
2020-07-29,21,5433,1,2020,Wednesday,July
2020-07-30,37,6695,1,2020,Thursday,July
2020-07-31,43,6628,1,2020,Friday,July
2020-08-01,49,8742,1,2020,Saturday,August
2020-08-02,28,9229,1,2020,Sunday,August
2020-08-03,46,9541,1,2020,Monday,August
