Fecha,Productos,Ingreso,Tienda
08/04/2019,38,6374,1
09/04/2019,25,8207,1
10/04/2019,33,6250,1
11/04/2019,38,6889,1
12/04/2019,21,5746,1
13/04/2019,19,5079,1
14/04/2019,44,6282,1
15/04/2019,15,7994,1
16/04/2019,40,8684,1
17/04/2019,23,6727,1
18/04/2019,16,9845,1
19/04/2019,25,6538,1
20/04/2019,21,8323,1
21/04/2019,36,5069,1
22/04/2019,16,7147,1
23/04/2019,17,9658,1
24/04/2019,46,7820,1
25/04/2019,15,9741,1
26/04/2019,25,8552,1
27/04/2019,25,7373,1
28/04/2019,16,6278,1
29/04/2019,24,5926,1
30/04/2019,27,6622,1
01/05/2019,39,8336,1
02/05/2019,37,8065,1
03/05/2019,29,9128,1
04/05/2019,23,9127,1
05/05/2019,26,7023,1
06/05/2019,44,7665,1
07/05/2019,47,7426,1
08/05/2019,22,6043,1
09/05/2019,48,5348,1
10/05/2019,25,8246,1
11/05/2019,28,7054,1
12/05/2019,43,6026,1
13/05/2019,44,9487,1
14/05/2019,23,5880,1
15/05/2019,36,6425,1
16/05/2019,15,6275,1
17/05/2019,21,5536,1
18/05/2019,29,7203,1
19/05/2019,19,8496,1
20/05/2019,31,6465,1
21/05/2019,32,6297,1
22/05/2019,49,6443,1
23/05/2019,48,8648,1
24/05/2019,38,6583,1
25/05/2019,41,6875,1
26/05/2019,41,7919,1
27/05/2019,35,5070,1
28/05/2019,42,7772,1
29/05/2019,29,9779,1
30/05/2019,46,8380,1
31/05/2019,27,5985,1
01/06/2019,49,8940,1
02/06/2019,37,7825,1
03/06/2019,29,6839,1
04/06/2019,48,8511,1
05/06/2019,34,9796,1
06/06/2019,33,7976,1
07/06/2019,28,9587,1
08/06/2019,17,6707,1
09/06/2019,42,5470,1
10/06/2019,33,9057,1
11/06/2019,41,8826,1
12/06/2019,37,5039,1
13/06/2019,34,6295,1
14/06/2019,31,6092,1
15/06/2019,29,5286,1
16/06/2019,32,5020,1
17/06/2019,44,5361,1
18/06/2019,35,7652,1
19/06/2019,26,6940,1
20/06/2019,27,9943,1
21/06/2019,32,6871,1
22/06/2019,45,8292,1
23/06/2019,32,6812,1
24/06/2019,39,7811,1
25/06/2019,25,7210,1
26/06/2019,36,9461,1
27/06/2019,46,5519,1
28/06/2019,25,5827,1
29/06/2019,17,8920,1
30/06/2019,19,8973,1
01/07/2019,49,9245,1
02/07/2019,35,8227,1
03/07/2019,44,8262,1
04/07/2019,20,8242,1
05/07/2019,44,8727,1
06/07/2019,43,6679,1
07/07/2019,49,8799,1
08/07/2019,45,6077,1
09/07/2019,45,9802,1
10/07/2019,24,7460,1
11/07/2019,40,6190,1
12/07/2019,42,5405,1
13/07/2019,26,5087,1
14/07/2019,42,9851,1
15/07/2019,47,8283,1
16/07/2019,30,5927,1
17/07/2019,24,5956,1
18/07/2019,37,9733,1
19/07/2019,24,5395,1
20/07/2019,21,8208,1
21/07/2019,21,5205,1
22/07/2019,24,6449,1
23/07/2019,33,7541,1
24/07/2019,20,5477,1
25/07/2019,29,6871,1
26/07/2019,18,9744,1
27/07/2019,40,6843,1
28/07/2019,33,6656,1
29/07/2019,45,5656,1
30/07/2019,36,6446,1
31/07/2019,28,9438,1
01/08/2019,25,6578,1
02/08/2019,50,6086,1
03/08/2019,28,8164,1
04/08/2019,27,5769,1
05/08/2019,33,9495,1
06/08/2019,45,9716,1
07/08/2019,32,7600,1
08/08/2019,27,7914,1
09/08/2019,33,6712,1
10/08/2019,21,7951,1
11/08/2019,17,7166,1
12/08/2019,31,9928,1
13/08/2019,44,9265,1
14/08/2019,42,5190,1
15/08/2019,48,7020,1
16/08/2019,46,5056,1
17/08/2019,17,5674,1
18/08/2019,33,6463,1
19/08/2019,42,5838,1
20/08/2019,43,5143,1
21/08/2019,28,5030,1
22/08/2019,20,6411,1
23/08/2019,32,7712,1
24/08/2019,26,7534,1
25/08/2019,39,7414,1
26/08/2019,46,6742,1
27/08/2019,40,7941,1
28/08/2019,33,8089,1
29/08/2019,33,5346,1
30/08/2019,17,7769,1
31/08/2019,30,5727,1
01/09/2019,23,6012,1
02/09/2019,46,9107,1
03/09/2019,39,5164,1
04/09/2019,26,7899,1
05/09/2019,25,9252,1
06/09/2019,30,6907,1
07/09/2019,42,7635,1
08/09/2019,46,8904,1
09/09/2019,26,7968,1
10/09/2019,16,7733,1
11/09/2019,44,9261,1
12/09/2019,42,9428,1
13/09/2019,40,9888,1
14/09/2019,20,9726,1
15/09/2019,33,7805,1
16/09/2019,35,6149,1
17/09/2019,20,5839,1
18/09/2019,42,6345,1
19/09/2019,32,6010,1
20/09/2019,49,7641,1
21/09/2019,17,7051,1
22/09/2019,47,5421,1
23/09/2019,23,9683,1
24/09/2019,34,5138,1
25/09/2019,36,7609,1
26/09/2019,30,6164,1
27/09/2019,40,5196,1
28/09/2019,37,7983,1
29/09/2019,32,9458,1
30/09/2019,23,5720,1
01/10/2019,48,9818,1
02/10/2019,36,8458,1
03/10/2019,46,7223,1
04/10/2019,23,7199,1
05/10/2019,17,7772,1
06/10/2019,33,8651,1
07/10/2019,46,5255,1
08/10/2019,46,7357,1
09/10/2019,15,9299,1
10/10/2019,20,9084,1
11/10/2019,30,5524,1
12/10/2019,38,8602,1
13/10/2019,33,8610,1
14/10/2019,36,8287,1
15/10/2019,24,5350,1
16/10/2019,20,9436,1
17/10/2019,37,5000,1
18/10/2019,29,9707,1
19/10/2019,30,7400,1
20/10/2019,32,9148,1
21/10/2019,33,5277,1
22/10/2019,43,6010,1
23/10/2019,34,6302,1
24/10/2019,36,9856,1
25/10/2019,49,7209,1
26/10/2019,22,5916,1
27/10/2019,36,8673,1
28/10/2019,39,7342,1
29/10/2019,42,6002,1
30/10/2019,40,8324,1
31/10/2019,32,5964,1
01/11/2019,25,8555,1
02/11/2019,46,7223,1
03/11/2019,49,9232,1
04/11/2019,41,6524,1
05/11/2019,32,6678,1
06/11/2019,33,9460,1
07/11/2019,40,9902,1
08/11/2019,50,8779,1
09/11/2019,27,6894,1
10/11/2019,19,7491,1
11/11/2019,47,9479,1
12/11/2019,27,7208,1
13/11/2019,46,6722,1
14/11/2019,31,7477,1
15/11/2019,43,6624,1
16/11/2019,25,8630,1
17/11/2019,25,9871,1
18/11/2019,46,6707,1
19/11/2019,45,7518,1
20/11/2019,35,9214,1
21/11/2019,31,8275,1
22/11/2019,20,8078,1
23/11/2019,16,6469,1
24/11/2019,32,5657,1
25/11/2019,18,7344,1
26/11/2019,19,6074,1
27/11/2019,35,8313,1
28/11/2019,26,7460,1
29/11/2019,37,6731,1
30/11/2019,28,6637,1
01/12/2019,22,7705,1
02/12/2019,34,8210,1
03/12/2019,42,8593,1
04/12/2019,50,9575,1
05/12/2019,34,7570,1
06/12/2019,28,7213,1
07/12/2019,50,7923,1
08/12/2019,44,8814,1
09/12/2019,42,5380,1
10/12/2019,45,8719,1
11/12/2019,24,5366,1
12/12/2019,27,7108,1
13/12/2019,43,9257,1
14/12/2019,17,7448,1
15/12/2019,42,9466,1
16/12/2019,36,8264,1
17/12/2019,42,6425,1
18/12/2019,27,7986,1
19/12/2019,33,5823,1
20/12/2019,48,8081,1
21/12/2019,42,6286,1
22/12/2019,24,8148,1
23/12/2019,44,7644,1
24/12/2019,47,6074,1
25/12/2019,45,9646,1
26/12/2019,24,6001,1
27/12/2019,21,6507,1
28/12/2019,16,7959,1
29/12/2019,46,9222,1
30/12/2019,48,7365,1
31/12/2019,44,5601,1
01/01/2020,27,6889,1
02/01/2020,47,7337,1
03/01/2020,49,7976,1
04/01/2020,27,6835,1
05/01/2020,24,7101,1
06/01/2020,50,9431,1
07/01/2020,49,5355,1
08/01/2020,37,6723,1
09/01/2020,17,9543,1
10/01/2020,34,8529,1
11/01/2020,23,5885,1
12/01/2020,45,5016,1
13/01/2020,48,6189,1
14/01/2020,48,5459,1
15/01/2020,25,5152,1
16/01/2020,31,6399,1
17/01/2020,21,6994,1
18/01/2020,17,6703,1
19/01/2020,30,5329,1
20/01/2020,45,9664,1
21/01/2020,27,6408,1
22/01/2020,38,6354,1
23/01/2020,16,6913,1
24/01/2020,40,9759,1
25/01/2020,39,8715,1
26/01/2020,32,9376,1
27/01/2020,36,5393,1
28/01/2020,25,7166,1
29/01/2020,50,9175,1
30/01/2020,26,6337,1
31/01/2020,21,8782,1
01/02/2020,17,7876,1
02/02/2020,15,9292,1
03/02/2020,38,5664,1
04/02/2020,49,5923,1
05/02/2020,32,7037,1
06/02/2020,24,6023,1
07/02/2020,47,9209,1
08/02/2020,39,5652,1
09/02/2020,29,6782,1
10/02/2020,37,7738,1
11/02/2020,34,8817,1
12/02/2020,45,8401,1
13/02/2020,41,6960,1
14/02/2020,46,6298,1
15/02/2020,48,7921,1
16/02/2020,45,7774,1
17/02/2020,45,7077,1
18/02/2020,40,6730,1
19/02/2020,40,5614,1
20/02/2020,27,5621,1
21/02/2020,30,8630,1
22/02/2020,36,7446,1
23/02/2020,40,8030,1
24/02/2020,36,9482,1
25/02/2020,19,5901,1
26/02/2020,36,7232,1
27/02/2020,28,6725,1
28/02/2020,46,8463,1
29/02/2020,32,8259,1
01/03/2020,16,9514,1
02/03/2020,25,8957,1
03/03/2020,44,6742,1
04/03/2020,34,7928,1
05/03/2020,18,8926,1
06/03/2020,37,9953,1
07/03/2020,26,5370,1
08/03/2020,27,9232,1
09/03/2020,49,8381,1
10/03/2020,37,7962,1
11/03/2020,37,6112,1
12/03/2020,37,6493,1
13/03/2020,26,7723,1
14/03/2020,39,6001,1
15/03/2020,22,9245,1
16/03/2020,49,6118,1
17/03/2020,48,9779,1
18/03/2020,39,9363,1
19/03/2020,27,9872,1
20/03/2020,15,6591,1
21/03/2020,29,8914,1
22/03/2020,23,5461,1
23/03/2020,31,8064,1
24/03/2020,40,7754,1
25/03/2020,20,6383,1
26/03/2020,45,6075,1
27/03/2020,20,9703,1
28/03/2020,27,7147,1
29/03/2020,29,9659,1
30/03/2020,50,5859,1
31/03/2020,32,6705,1
01/04/2020,34,9851,1
02/04/2020,18,7929,1
03/04/2020,41,6737,1
04/04/2020,16,9265,1
05/04/2020,41,6911,1
06/04/2020,24,7415,1
07/04/2020,23,5904,1
08/04/2020,20,9254,1
09/04/2020,16,7205,1
10/04/2020,19,5963,1
11/04/2020,20,7528,1
12/04/2020,18,6808,1
13/04/2020,39,7545,1
14/04/2020,20,6647,1
15/04/2020,45,9132,1
16/04/2020,42,6681,1
17/04/2020,33,7083,1
18/04/2020,25,5558,1
19/04/2020,29,6155,1
20/04/2020,25,5707,1
21/04/2020,17,8633,1
22/04/2020,22,9737,1
23/04/2020,41,5150,1
24/04/2020,20,7593,1
25/04/2020,38,7112,1
26/04/2020,30,6885,1
27/04/2020,41,7704,1
28/04/2020,17,8120,1
29/04/2020,20,7751,1
30/04/2020,26,6351,1
01/05/2020,24,6664,1
02/05/2020,35,7199,1
03/05/2020,50,5691,1
04/05/2020,43,9978,1
05/05/2020,50,8103,1
06/05/2020,27,8257,1
07/05/2020,23,9970,1
08/05/2020,22,7726,1
09/05/2020,41,6354,1
10/05/2020,45,7802,1
11/05/2020,22,8317,1
12/05/2020,44,5053,1
13/05/2020,34,9880,1
14/05/2020,18,6249,1
15/05/2020,41,9753,1
16/05/2020,32,5758,1
17/05/2020,27,5322,1
18/05/2020,36,8393,1
19/05/2020,28,5865,1
20/05/2020,33,7418,1
21/05/2020,44,6387,1
22/05/2020,30,9345,1
23/05/2020,28,9213,1
24/05/2020,29,8216,1
25/05/2020,41,6236,1
26/05/2020,32,6676,1
27/05/2020,24,7071,1
28/05/2020,41,7607,1
29/05/2020,45,8027,1
30/05/2020,23,7276,1
31/05/2020,47,7652,1
01/06/2020,23,6513,1
02/06/2020,42,9944,1
03/06/2020,42,6873,1
04/06/2020,32,9553,1
05/06/2020,25,8538,1
06/06/2020,47,9037,1
07/06/2020,25,7730,1
08/06/2020,30,9100,1
09/06/2020,46,6626,1
10/06/2020,19,8460,1
11/06/2020,16,9377,1
12/06/2020,20,6303,1
13/06/2020,22,5159,1
14/06/2020,24,8323,1
15/06/2020,40,8278,1
16/06/2020,37,6058,1
17/06/2020,47,9163,1
18/06/2020,48,8011,1
19/06/2020,45,9295,1
20/06/2020,16,5473,1
21/06/2020,22,7106,1
22/06/2020,23,8468,1
23/06/2020,42,5816,1
24/06/2020,21,5665,1
25/06/2020,37,7521,1
26/06/2020,40,8403,1
27/06/2020,47,9259,1
28/06/2020,32,8261,1
29/06/2020,21,8280,1
30/06/2020,45,6498,1
01/07/2020,48,6078,1
02/07/2020,33,5217,1
03/07/2020,29,9628,1
04/07/2020,19,6515,1
05/07/2020,31,5943,1
06/07/2020,16,6665,1
07/07/2020,25,8312,1
08/07/2020,19,7305,1
09/07/2020,48,8103,1
10/07/2020,29,5443,1
11/07/2020,41,7325,1
12/07/2020,50,7765,1
13/07/2020,20,7207,1
14/07/2020,41,7482,1
15/07/2020,31,5087,1
16/07/2020,30,8438,1
17/07/2020,24,6353,1
18/07/2020,48,9067,1
19/07/2020,43,5056,1
20/07/2020,29,8276,1
21/07/2020,25,5893,1
22/07/2020,40,5945,1
23/07/2020,46,9863,1
24/07/2020,44,5728,1
25/07/2020,17,5195,1
26/07/2020,15,7804,1
27/07/2020,47,7838,1
28/07/2020,33,5995,1
29/07/2020,21,5433,1
30/07/2020,37,6695,1
31/07/2020,43,6628,1
01/08/2020,49,8742,1
02/08/2020,28,9229,1
03/08/2020,46,9541,1
04/08/2020,42,8925,1
05/08/2020,39,6442,1
06/08/2020,16,5631,1
07/08/2020,39,6961,1
08/08/2020,26,9973,1
09/08/2020,18,7270,1
10/08/2020,43,6270,1
11/08/2020,27,6140,1
12/08/2020,38,6086,1
13/08/2020,45,5538,1
14/08/2020,20,9557,1
15/08/2020,43,6196,1
16/08/2020,17,9701,1
17/08/2020,16,8218,1
18/08/2020,23,8863,1
19/08/2020,28,7704,1
20/08/2020,31,8073,1
21/08/2020,35,5244,1
22/08/2020,19,7974,1
23/08/2020,50,7602,1
24/08/2020,40,6372,1
25/08/2020,24,5166,1
26/08/2020,39,9304,1
27/08/2020,44,5786,1
28/08/2020,42,8086,1
29/08/2020,46,6202,1
30/08/2020,37,9154,1
31/08/2020,31,6073,1
01/09/2020,26,6008,1
02/09/2020,48,5226,1
03/09/2020,31,7251,1
04/09/2020,42,5694,1
05/09/2020,39,8235,1
06/09/2020,18,6336,1
07/09/2020,49,9173,1
08/09/2020,19,6158,1
09/09/2020,28,6753,1
10/09/2020,24,8193,1
11/09/2020,25,7403,1
12/09/2020,43,6210,1
13/09/2020,37,8272,1
14/09/2020,39,9255,1
15/09/2020,28,6075,1
16/09/2020,47,8007,1
17/09/2020,34,6791,1
18/09/2020,43,7617,1
19/09/2020,27,8032,1
20/09/2020,28,7516,1
21/09/2020,16,6485,1
22/09/2020,28,9730,1
23/09/2020,39,5806,1
24/09/2020,25,8841,1
25/09/2020,16,7050,1
26/09/2020,24,5016,1
27/09/2020,18,8800,1
28/09/2020,39,9015,1
29/09/2020,44,9058,1
30/09/2020,21,8299,1
01/10/2020,43,5940,1
02/10/2020,33,7373,1
03/10/2020,28,5441,1
04/10/2020,16,8074,1
05/10/2020,48,6460,1
06/10/2020,16,8542,1
07/10/2020,37,8571,1
08/10/2020,31,6138,1
09/10/2020,49,8687,1
10/10/2020,24,8279,1
11/10/2020,50,9185,1
12/10/2020,15,7807,1
13/10/2020,41,6794,1
14/10/2020,33,7864,1
15/10/2020,24,9825,1
16/10/2020,28,8970,1
17/10/2020,29,7422,1
18/10/2020,39,7229,1
19/10/2020,29,7593,1
20/10/2020,28,5976,1
21/10/2020,37,7021,1
22/10/2020,29,7332,1
23/10/2020,35,6269,1
24/10/2020,42,6436,1
25/10/2020,27,9358,1
26/10/2020,22,8500,1
27/10/2020,16,9978,1
28/10/2020,47,6432,1
29/10/2020,34,7837,1
30/10/2020,38,9917,1
31/10/2020,30,7302,1
01/11/2020,41,7551,1
02/11/2020,46,8203,1
03/11/2020,23,5133,1
04/11/2020,33,6116,1
05/11/2020,45,8785,1
06/11/2020,45,9863,1
07/11/2020,31,9492,1
08/11/2020,27,5973,1
09/11/2020,47,9488,1
10/11/2020,31,6133,1
11/11/2020,36,8165,1
12/11/2020,49,8607,1
13/11/2020,26,9406,1
14/11/2020,50,9910,1
15/11/2020,48,5633,1
16/11/2020,27,7526,1
17/11/2020,20,5761,1
18/11/2020,23,7033,1
19/11/2020,27,5660,1
20/11/2020,39,7476,1
21/11/2020,29,6054,1
22/11/2020,35,7855,1
23/11/2020,50,5897,1
24/11/2020,39,9270,1
25/11/2020,36,6624,1
26/11/2020,38,6164,1
27/11/2020,15,5550,1
28/11/2020,42,5107,1
29/11/2020,15,8065,1
30/11/2020,37,9101,1
01/12/2020,15,8240,1
02/12/2020,25,6127,1
03/12/2020,22,5557,1
04/12/2020,15,9855,1
05/12/2020,26,5959,1
06/12/2020,37,5317,1
07/12/2020,41,6620,1
08/12/2020,47,7628,1
09/12/2020,34,9427,1
10/12/2020,29,7186,1
11/12/2020,44,9598,1
12/12/2020,47,9555,1
13/12/2020,44,6673,1
14/12/2020,17,7573,1
15/12/2020,33,7072,1
16/12/2020,41,7325,1
17/12/2020,35,5102,1
18/12/2020,23,5229,1
19/12/2020,45,6660,1
20/12/2020,44,6374,1
21/12/2020,25,9478,1
22/12/2020,27,5655,1
23/12/2020,31,9398,1
24/12/2020,41,5430,1
25/12/2020,25,6101,1
26/12/2020,16,9230,1
27/12/2020,16,6444,1
28/12/2020,39,7303,1
29/12/2020,50,8324,1
30/12/2020,16,9225,1
31/12/2020,29,9751,1
01/01/2021,32,8649,1
02/01/2021,36,5253,1
03/01/2021,33,8105,1
04/01/2021,33,7837,1
05/01/2021,41,6673,1
06/01/2021,16,8919,1
07/01/2021,42,8068,1
08/01/2021,26,5025,1
09/01/2021,43,6712,1
10/01/2021,41,9281,1
11/01/2021,30,8965,1
12/01/2021,15,5875,1
13/01/2021,23,6993,1
14/01/2021,47,9230,1
15/01/2021,34,6149,1
16/01/2021,31,9670,1
17/01/2021,34,9797,1
18/01/2021,33,6375,1
19/01/2021,30,9970,1
20/01/2021,35,6886,1
21/01/2021,44,9877,1
22/01/2021,43,5911,1
23/01/2021,19,9670,1
24/01/2021,24,5193,1
25/01/2021,47,9517,1
26/01/2021,40,5629,1
27/01/2021,22,9669,1
28/01/2021,45,6974,1
29/01/2021,32,6229,1
30/01/2021,45,8150,1
31/01/2021,16,5242,1
01/02/2021,49,7423,1
02/02/2021,18,6103,1
03/02/2021,41,7229,1
04/02/2021,36,7193,1
05/02/2021,35,7126,1
06/02/2021,31,5201,1
07/02/2021,43,6333,1
08/02/2021,38,8355,1
09/02/2021,43,8051,1
10/02/2021,40,8462,1
11/02/2021,43,7226,1
12/02/2021,36,8061,1
13/02/2021,38,8814,1
14/02/2021,15,8500,1
15/02/2021,38,9340,1
16/02/2021,25,6955,1
17/02/2021,50,5141,1
18/02/2021,47,7526,1
19/02/2021,36,7986,1
20/02/2021,33,8405,1
21/02/2021,21,5254,1
22/02/2021,21,5684,1
23/02/2021,39,8610,1
24/02/2021,20,5904,1
25/02/2021,41,7851,1
26/02/2021,32,8499,1
27/02/2021,15,6990,1
28/02/2021,34,7959,1
01/03/2021,46,6953,1
02/03/2021,40,7026,1
03/03/2021,18,8091,1
04/03/2021,46,7720,1
05/03/2021,25,6282,1
06/03/2021,19,6964,1
07/03/2021,36,9878,1
08/03/2021,45,5341,1
09/03/2021,34,7812,1
10/03/2021,37,7053,1
11/03/2021,25,9784,1
12/03/2021,29,5957,1
13/03/2021,17,8991,1
14/03/2021,39,9157,1
15/03/2021,18,7692,1
16/03/2021,33,8984,1
17/03/2021,33,8337,1
18/03/2021,37,7474,1
19/03/2021,31,6600,1
20/03/2021,17,9636,1
21/03/2021,37,7818,1
22/03/2021,40,7601,1
23/03/2021,16,8402,1
24/03/2021,43,5009,1
25/03/2021,50,7839,1
26/03/2021,47,7868,1
27/03/2021,40,9660,1
28/03/2021,43,6130,1
29/03/2021,21,7652,1
30/03/2021,21,9588,1
31/03/2021,25,7154,1
01/04/2021,25,6809,1
02/04/2021,29,6547,1
03/04/2021,26,6193,1
04/04/2021,25,5469,1
05/04/2021,40,7692,1
06/04/2021,17,7296,1
07/04/2021,17,5608,1
08/04/2021,33,7142,1
09/04/2021,32,9567,1
10/04/2021,25,9010,1
11/04/2021,24,8556,1
12/04/2021,40,7106,1
13/04/2021,28,9665,1
14/04/2021,18,5598,1
15/04/2021,23,8752,1
16/04/2021,19,9442,1
17/04/2021,31,8826,1
18/04/2021,25,9932,1
19/04/2021,44,6525,1
20/04/2021,37,9830,1
21/04/2021,34,8355,1
22/04/2021,36,7556,1
23/04/2021,30,8458,1
24/04/2021,19,6909,1
25/04/2021,36,5325,1
26/04/2021,26,5393,1
27/04/2021,44,6379,1
28/04/2021,50,8807,1
29/04/2021,48,8334,1
30/04/2021,50,9825,1
01/05/2021,31,8538,1
02/05/2021,30,6788,1
03/05/2021,29,6480,1
04/05/2021,38,9958,1
05/05/2021,45,9474,1
06/05/2021,33,8424,1
07/05/2021,30,6049,1
08/05/2021,47,5494,1
09/05/2021,23,7956,1
10/05/2021,50,6133,1
11/05/2021,46,8646,1
12/05/2021,32,9081,1
13/05/2021,19,9954,1
14/05/2021,36,8376,1
15/05/2021,42,6707,1
16/05/2021,16,7378,1
17/05/2021,29,7188,1
18/05/2021,30,7381,1
19/05/2021,36,7037,1
20/05/2021,21,7565,1
21/05/2021,19,8735,1
22/05/2021,36,6069,1
23/05/2021,43,6114,1
24/05/2021,45,9866,1
25/05/2021,45,7713,1
26/05/2021,37,6761,1
27/05/2021,30,5418,1
28/05/2021,41,7312,1
29/05/2021,21,5802,1
30/05/2021,39,6725,1
31/05/2021,26,8984,1
01/06/2021,50,5483,1
02/06/2021,25,9203,1
03/06/2021,25,5084,1
04/06/2021,50,8233,1
05/06/2021,23,5279,1
06/06/2021,20,6809,1
07/06/2021,15,7493,1
08/06/2021,26,9243,1
09/06/2021,29,8490,1
10/06/2021,33,9582,1
11/06/2021,45,5439,1
12/06/2021,21,6101,1
13/06/2021,18,9507,1
14/06/2021,35,9533,1
15/06/2021,22,9645,1
16/06/2021,39,7005,1
17/06/2021,32,6757,1
18/06/2021,30,7204,1
19/06/2021,30,8929,1
20/06/2021,50,5713,1
21/06/2021,35,6243,1
22/06/2021,48,8660,1
23/06/2021,28,6912,1
24/06/2021,37,5819,1
25/06/2021,32,9468,1
26/06/2021,41,5271,1
27/06/2021,39,7584,1
28/06/2021,36,6299,1
29/06/2021,39,8764,1
30/06/2021,24,8457,1
01/07/2021,24,7308,1
02/07/2021,23,8780,1
03/07/2021,39,6509,1
04/07/2021,19,5092,1
05/07/2021,24,5893,1
06/07/2021,23,5222,1
07/07/2021,15,8179,1
08/07/2021,29,7943,1
09/07/2021,27,8252,1
10/07/2021,26,9120,1
11/07/2021,15,8991,1
12/07/2021,43,5801,1
13/07/2021,18,9070,1
14/07/2021,43,6032,1
15/07/2021,37,8524,1
16/07/2021,43,6782,1
17/07/2021,48,5452,1
18/07/2021,41,5538,1
19/07/2021,15,5860,1
20/07/2021,15,7090,1
21/07/2021,30,8236,1
22/07/2021,24,7868,1
23/07/2021,28,5445,1
24/07/2021,45,5225,1
25/07/2021,25,6372,1
26/07/2021,27,8234,1
27/07/2021,31,6935,1
28/07/2021,23,9700,1
29/07/2021,49,7048,1
30/07/2021,33,5454,1
31/07/2021,28,9947,1
01/08/2021,40,6668,1
02/08/2021,26,5141,1
03/08/2021,24,6768,1
04/08/2021,43,5210,1
05/08/2021,40,5448,1
06/08/2021,24,7789,1
07/08/2021,38,7387,1
08/08/2021,19,8119,1
09/08/2021,38,9191,1
10/08/2021,49,5502,1
11/08/2021,30,7270,1
12/08/2021,38,6578,1
13/08/2021,35,6081,1
14/08/2021,38,7826,1
15/08/2021,31,6159,1
16/08/2021,20,9058,1
17/08/2021,19,7918,1
18/08/2021,27,5616,1
19/08/2021,39,9855,1
20/08/2021,17,5980,1
21/08/2021,17,5682,1
22/08/2021,30,8167,1
23/08/2021,46,7617,1
24/08/2021,39,8848,1
25/08/2021,34,5266,1
26/08/2021,27,9249,1
27/08/2021,24,8466,1
28/08/2021,37,5301,1
29/08/2021,45,9915,1
30/08/2021,44,8932,1
31/08/2021,22,7381,1
01/09/2021,20,7925,1
02/09/2021,50,7625,1
03/09/2021,41,5755,1
04/09/2021,31,8095,1
05/09/2021,32,5014,1
06/09/2021,28,8616,1
07/09/2021,30,7115,1
08/09/2021,35,6075,1
09/09/2021,29,5030,1
10/09/2021,41,9329,1
11/09/2021,39,6890,1
12/09/2021,36,8187,1
13/09/2021,24,9851,1
14/09/2021,46,6881,1
15/09/2021,44,9544,1
16/09/2021,25,7597,1
17/09/2021,23,5185,1
18/09/2021,36,8253,1
19/09/2021,35,6403,1
20/09/2021,24,6316,1
21/09/2021,39,9959,1
22/09/2021,17,8298,1
23/09/2021,45,5620,1
